%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661321100853395726,35688,1661321100853395726,imu,-0.540003,-0.024162,-0.868479
1661321100858299516,35689,1661321100858299516,imu,-0.53969,-0.023761,-0.868609
1661321100866907793,35690,1661321100866907793,imu,-0.540301,-0.023001,-0.86851
1661321100868600101,35691,1661321100868600101,imu,-0.540869,-0.02285,-0.868501
1661321100873827114,35692,1661321100873827114,imu,-0.541153,-0.022849,-0.868641
1661321100878257524,35693,1661321100878257524,imu,-0.541525,-0.023212,-0.868607
1661321100883224799,35694,1661321100883224799,imu,-0.541143,-0.023089,-0.868689
1661321100888697721,35695,1661321100888697721,imu,-0.540484,-0.023367,-0.86848
1661321100893297145,35696,1661321100893297145,imu,-0.539584,-0.023467,-0.868246
1661321100898220910,35697,1661321100898220910,imu,-0.538447,-0.023483,-0.868059
1661321100906579087,35698,1661321100906579087,imu,-0.53819,-0.022969,-0.868105
1661321100908331389,35699,1661321100908331389,imu,-0.537818,-0.022944,-0.867854
1661321100914373162,35700,1661321100914373162,imu,-0.53784,-0.022596,-0.867844
1661321100918229273,35701,1661321100918229273,imu,-0.53766,-0.022574,-0.867436
1661321100923307036,35702,1661321100923307036,imu,-0.537444,-0.022598,-0.867544
1661321100928289676,35703,1661321100928289676,imu,-0.536872,-0.022444,-0.867849
1661321100933259186,35704,1661321100933259186,imu,-0.536304,-0.022468,-0.867909
1661321100938320816,35705,1661321100938320816,imu,-0.535477,-0.022491,-0.867812
1661321100946188223,35706,1661321100946188223,imu,-0.535378,-0.022348,-0.867588
1661321100948439955,35707,1661321100948439955,imu,-0.535359,-0.021976,-0.867802
1661321100953432513,35708,1661321100953432513,imu,-0.535636,-0.021053,-0.868013
1661321100958367871,35709,1661321100958367871,imu,-0.535996,-0.021369,-0.867892
1661321100963292892,35710,1661321100963292892,imu,-0.53645,-0.021281,-0.868004
1661321100968279583,35711,1661321100968279583,imu,-0.536998,-0.021105,-0.868281
1661321100973392476,35712,1661321100973392476,imu,-0.537446,-0.020673,-0.868462
1661321100978272381,35713,1661321100978272381,imu,-0.537926,-0.021122,-0.868565
1661321100987671812,35714,1661321100987671812,imu,-0.538487,-0.021227,-0.868906
1661321100988484547,35715,1661321100988484547,imu,-0.538371,-0.021302,-0.869066
1661321100993371366,35716,1661321100993371366,imu,-0.53778,-0.021064,-0.868824
1661321100998240725,35717,1661321100998240725,imu,-0.538181,-0.020534,-0.868936
1661321101003338323,35718,1661321101003338323,imu,-0.53847,-0.020468,-0.869245
1661321101008296519,35719,1661321101008296519,imu,-0.539024,-0.020632,-0.869173
1661321101013366110,35720,1661321101013366110,imu,-0.539367,-0.020628,-0.869185
1661321101018202085,35721,1661321101018202085,imu,-0.539269,-0.020803,-0.869503
1661321101027226472,35722,1661321101027226472,imu,-0.539823,-0.020428,-0.869331
1661321101028343923,35723,1661321101028343923,imu,-0.539799,-0.020191,-0.869477
1661321101033289896,35724,1661321101033289896,imu,-0.539448,-0.020169,-0.869399
1661321101038362701,35725,1661321101038362701,imu,-0.539356,-0.020474,-0.869389
1661321101043285907,35726,1661321101043285907,imu,-0.539657,-0.020314,-0.869215
1661321101048263378,35727,1661321101048263378,imu,-0.539323,-0.020556,-0.869466
1661321101053182743,35728,1661321101053182743,imu,-0.539585,-0.020608,-0.869125
1661321101058335864,35729,1661321101058335864,imu,-0.539604,-0.020751,-0.868966
1661321101067459076,35730,1661321101067459076,imu,-0.539411,-0.020588,-0.868549
1661321101068299049,35731,1661321101068299049,imu,-0.539689,-0.020832,-0.868088
1661321101073352647,35732,1661321101073352647,imu,-0.539829,-0.021031,-0.867792
